Date,Price,Open,High,Low,Vol.,Change %,SMA_10,EMA_10,RSI_14,MACD,MACD_Signal,MACD_Diff
2021-01-12,-0.36469430816167053,-0.37309582104440975,-0.3546672468103827,-0.3695482166037653,1.7756791978788795,1.71,-0.3785601414789203,-0.371223949305672,41.43560859533276,-0.5689254536754853,-0.7857743846784334,0.5483537159310097
2021-01-11,-0.37361091552371856,-0.3239697343043864,-0.3432103609625689,-0.4109520885349641,3.2807627082445157,-8.78,-0.3750957165761084,-0.37282172162118704,40.5998894417219,-0.532530178220255,-0.7421090909574682,0.533376817057883
2021-01-10,-0.32421291073797265,-0.30735618497048767,-0.2561722281784312,-0.3481905632093912,2.7683938536519586,-2.81,-0.37154200237167767,-0.3651024011520204,46.97990297524413,-0.4585209196219994,-0.6914127109012305,0.6192707947252349
2021-01-09,-0.30798468533904527,-0.3137872363255452,-0.3033677579395746,-0.3163414309546227,1.7756791978788795,1.1,-0.36623821785551713,-0.35582117987021045,48.920895780870524,-0.38186815182276584,-0.6345283881377138,0.6948646627793766
2021-01-08,-0.31422631049247884,-0.30878530749383376,-0.2915688754992888,-0.3549350853339303,3.3234601127938954,-0.83,-0.35991653530090173,-0.3493679970689187,48.19017203657279,-0.3216189954450099,-0.5761877187848997,0.7126558539911104
2021-01-07,-0.3094113425169729,-0.4424082634266971,-0.2524102656612386,-0.4298742200510325,7.038134308589933,30.06,-0.35168406169164246,-0.3432082722328068,48.82520364868466,-0.2662473629977901,-0.5177208961591558,0.7141969823304573
2021-01-06,-0.442803788653211,-0.48385281660373497,-0.41810761471394864,-0.4750250487180865,3.003229578673547,10.32,-0.3571842826713645,-0.3625435456269398,35.751470381541026,-0.32358952384307643,-0.48316145235698865,0.42213687030260244
2021-01-05,-0.4843551789603547,-0.4656315044310718,-0.4695781018809927,-0.4813948751690402,1.8610740069776388,-4.37,-0.36700610584943943,-0.3859560771266716,32.804797510703565,-0.396645323294479,-0.47107495336771205,0.14760025848567018
2021-01-04,-0.46598696779453586,-0.4847460181808262,-0.4386274102622718,-0.482331614353004,2.5869298843170947,4.87,-0.37788154278661695,-0.4017553275371682,35.3418377771425,-0.4342432972117387,-0.4694142105066399,0.020235919414937405
2021-01-03,-0.48542517184380046,-0.4920702711129751,-0.47641803373043373,-0.4866406145992373,1.8930970603896737,1.73,-0.3923464096488728,-0.41823396592161816,33.883843829486224,-0.4732471757734558,-0.47639353352372943,-0.08531386196951954
2021-01-02,-0.49220179343895687,-0.46277325938437947,-0.47590503884172575,-0.4941345280709475,1.8824227092523287,-6.84,-0.4051147797803702,-0.4329547928269189,33.36703960977954,-0.5029899208346683,-0.48831226615966655,-0.14565525436045162
2021-01-01,-0.46331198558592135,-0.49492851615966743,-0.4555562415896385,-0.48476713623130974,2.4161402661195757,8.18,-0.41409728352322794,-0.4397200177572894,37.727626079727294,-0.49719942904639297,-0.4966138639821299,-0.10146718980352912
2020-12-31,-0.49523343994205327,-0.5092197413931288,-0.4923208752803842,-0.5053753982785129,2.234676296784712,3.76,-0.43122297157372586,-0.45108826815292363,35.0019704300467,-0.5112704916767414,-0.506252311471739,-0.11779856876532198
2020-12-30,-0.5095000117213301,-0.4909984292204656,-0.4806929911363344,-0.5301053127351565,4.2734773640175945,-4.61,-0.4514023537395889,-0.4629965209643295,33.82577129404831,-0.5269127321166729,-0.5172949032411635,-0.13495204003009198
